,company name,ratings,company_type,location,other_loc
75,Zydus Lifesciences,3.9,Pharma, Bangalore / Bengaluru ,175 other locations
76,Hindustan Unilever,4.2,FMCG, Bangalore / Bengaluru ,529 other locations
77,Ekart Logistics,3.9,Logistics, Bangalore / Bengaluru ,737 other locations
78,KPMG India,3.4,Management Consulting, Bangalore / Bengaluru ,111 other locations
79,ITC,3.9,FMCG, Bangalore / Bengaluru ,374 other locations
80,Ujjivan Small Finance Bank,4.0,Banking, Bangalore / Bengaluru ,526 other locations
81,Axis Max Life Insurance,4.0,Insurance, Bangalore / Bengaluru ,494 other locations
82,Megha Engineering & Infrastructures,3.9,Engineering & Construction, Bangalore / Bengaluru ,406 other locations
83,Tata Projects,4.2,Engineering & Construction, Bangalore / Bengaluru ,284 other locations
84,Coforge,3.2,IT Services & Consulting, Bangalore / Bengaluru ,104 other locations
85,FIS,3.8,FinTech, Bangalore / Bengaluru ,61 other locations
86,Bajaj Life Insurance,3.9,Insurance, Bangalore / Bengaluru ,603 other locations
87,L&T Technology Services,3.1,IT Services & Consulting, Bangalore / Bengaluru ,93 other locations
88,Cholamandalam Investment & Finance,3.8,Financial Services, Bangalore / Bengaluru ,829 other locations
89,IIFL Finance,4.0,NBFC, Bangalore / Bengaluru ,800 other locations
90,Oracle,3.5,Software Product, Bangalore / Bengaluru ,56 other locations
91,Indian Army,4.7,Defence & Aerospace, Bangalore / Bengaluru ,362 other locations
92,Omega Healthcare,3.8,BPO, Bangalore / Bengaluru ,69 other locations
93,Muthoot Finance,3.7,NBFC, Bangalore / Bengaluru ,781 other locations
94,JLL,4.1,Real Estate, Bangalore / Bengaluru ,85 other locations
95,HCL Group,3.5,IT Services & Consulting, Bangalore / Bengaluru ,97 other locations
96,eClerx,3.1,IT Services & Consulting, Bangalore / Bengaluru ,32 other locations
97,Virtusa Consulting Services,3.7,IT Services & Consulting, Bangalore / Bengaluru ,55 other locations
98,Piramal Finance,4.2,NBFC, Bangalore / Bengaluru ,419 other locations
99,DMart,3.9,Retail, Bangalore / Bengaluru ,246 other locations
100,HSBC Group,3.9,Financial Services, Bangalore / Bengaluru ,63 other locations
101,Udaan,3.9,Internet, Bangalore / Bengaluru ,371 other locations
102,Indiamart Intermesh,3.5,Internet, Bangalore / Bengaluru ,171 other locations
103,SMFG India Credit,3.9,NBFC, Bangalore / Bengaluru ,590 other locations
104,Aurobindo Pharma,4.0,Pharma, Bangalore / Bengaluru ,115 other locations
105,CGI Group,4.0,IT Services & Consulting, Bangalore / Bengaluru ,43 other locations
106,Siemens,3.9,Industrial Automation, Bangalore / Bengaluru ,153 other locations
107,BigBasket,3.9,Internet, Bangalore / Bengaluru ,139 other locations
108,Manappuram Finance,3.9,NBFC, Bangalore / Bengaluru ,645 other locations
109,Access Healthcare,3.7,BPO, Bangalore / Bengaluru ,63 other locations
110,Shapoorji Pallonji Group,4.1,Engineering & Construction, Bangalore / Bengaluru ,188 other locations
111,Firstsource Solutions,3.5,BPO, Bangalore / Bengaluru ,73 other locations
