,company name,ratings,company_type,location,other_loc
322,Biocon Limited,4.0,Biotechnology, Indore ,66 other locations
323,Canara HSBC Life Insurance,3.6,Insurance, Indore ,312 other locations
324,Planet Spark,3.9,EdTech, Indore ,62 other locations
325,Mahindra Rural Housing Finance,4.0,NBFC, Indore ,460 other locations
326,Datamatics Global Services,3.4,IT Services & Consulting, Indore ,36 other locations
327,Aditya Birla Capital,3.8,NBFC, Indore ,285 other locations
328,Axis Direct,3.6,Financial Services, Indore ,269 other locations
329,Hero FinCorp,3.9,NBFC, Indore ,390 other locations
330,3i Infotech,3.4,IT Services & Consulting, Indore ,127 other locations
331,Cadila Pharmaceuticals,3.3,Pharma, Indore ,134 other locations
332,Info Edge,4.0,Internet, Indore ,69 other locations
333,Cholamandalam MS General Insurance,3.7,Insurance, Indore ,385 other locations
334,Syngene International,3.9,Clinical Research, Indore ,21 other locations
335,Aditya Birla Group,4.1,Metals & Mining, Indore ,263 other locations
336,Adani Group,3.8,Power, Indore ,186 other locations
337,Delhi Public School,3.8,Education & Training, Indore ,272 other locations
338,Cybage,3.8,IT Services & Consulting, Indore ,15 other locations
339,Bureau Veritas,3.8,Other, Indore ,143 other locations
340,Xoriant,4.1,IT Services & Consulting, Indore ,23 other locations
341,Lifestyle,4.3,Retail, Indore ,129 other locations
342,Akums Drugs & Pharmaceuticals Limited,4.2,Pharma, Indore ,37 other locations
343,Aavas Financiers,3.9,NBFC, Indore ,290 other locations
344,Eureka Forbes,3.6,Consumer Electronics & Appliances, Indore ,184 other locations
345,Kia India,3.9,Automobile, Indore ,185 other locations
346,Sobha,3.8,Real Estate, Indore ,37 other locations
347,Unacademy,2.9,EdTech, Indore ,72 other locations
348,Radisson Hotels,4.0,Hospitality, Indore ,125 other locations
349,Apollo Pharmacy,3.7,Pharma, Indore ,279 other locations
350,TaskUs,3.1,BPO, Indore ,35 other locations
351,Myntra,3.9,Internet, Indore ,104 other locations
352,Lava International,3.9,Consumer Electronics & Appliances, Indore ,222 other locations
353,Panasonic Life Solutions India,3.9,Consumer Electronics & Appliances, Indore ,168 other locations
354,TCE,3.8,Engineering & Construction, Indore ,131 other locations
355,Team Computers,3.7,IT Services & Consulting, Indore ,101 other locations
356,Endurance Technologies,3.9,Auto Components, Indore ,47 other locations
357,SBI Securities,3.6,Financial Services, Indore ,315 other locations
358,Whirlpool,4.0,Consumer Electronics & Appliances, Indore ,174 other locations
359,Star Union Dai-ichi Life Insurance,3.8,Insurance, Indore ,315 other locations
360,Indian Railways,4.2,Railways, Indore ,247 other locations
361,GlaxoSmithKline Pharmaceuticals,4.0,Pharma, Indore ,216 other locations
362,Adani Wilmar,4.0,FMCG, Indore ,198 other locations
363,Nokia Networks,4.1,Hardware & Networking, Indore ,87 other locations
364,Bharti AXA Life Insurance,3.6,Insurance, Indore ,242 other locations
365,SBI General Insurance,3.5,Insurance, Indore ,284 other locations
366,Huawei Technologies,4.0,Telecom, Indore ,105 other locations
367,Meesho,3.7,Internet, Indore ,132 other locations
368,Coromandel International,4.1,Agro Chemicals, Indore ,180 other locations
369,Ambuja Cements,3.8,Building Material, Indore ,252 other locations
370,Daikin Airconditioning India Pvt. Ltd.,4.1,Consumer Electronics & Appliances, Indore ,107 other locations
371,ValueLabs,3.5,IT Services & Consulting, Indore ,20 other locations
372,Sify Technologies,3.7,IT Services & Consulting, Indore ,131 other locations
373,Bank of Baroda,3.5,Banking, Indore ,298 other locations
374,Simplex Infrastructures,3.4,Engineering & Construction, Indore ,139 other locations
375,Ola Cabs,3.3,Internet, Indore ,111 other locations
376,Life Insurance Corporation of India,4.4,Insurance, Indore ,469 other locations
377,BHEL,4.2,Electrical Equipment, Indore ,128 other locations
378,Spark Minda,3.8,Auto Components, Indore ,74 other locations
379,Cargill,3.9,Food Processing, Indore ,118 other locations
380,Pfizer,3.9,Pharma, Indore ,129 other locations
381,CAMS,3.6,Financial Services, Indore ,107 other locations
382,Generali Central Life Insurance,3.5,Insurance, Indore ,197 other locations
383,Force Motors,3.7,Automobile, Indore ,107 other locations
384,Power Mech Projects,3.8,Engineering & Construction, Indore ,149 other locations
385,upGrad,3.4,EdTech, Indore ,48 other locations
386,Newgen Software Technologies,3.9,IT Services & Consulting, Indore ,32 other locations
387,FirstCry,3.6,Retail, Indore ,209 other locations
388,Raymond Lifestyle Limited,4.2,Fashion & Textile, Indore ,148 other locations
389,Bharat Petroleum,4.2,Oil & Gas, Indore ,259 other locations
390,Poonawalla Fincorp,3.6,NBFC, Indore ,260 other locations
391,Mercedes-Benz Research and Development India,3.7,IT Services & Consulting, Indore ,51 other locations
392,Reliance Trends,4.1,Retail, Indore ,391 other locations
393,Renault-Nissan,4.1,Automobile, Indore ,86 other locations
394,Nuvoco Vistas,4.1,Building Material, Indore ,195 other locations
395,Extramarks Education,3.4,EdTech, Indore ,110 other locations
396,GAO Tek,4.4,Electrical Equipment, Indore ,39 other locations
397,Saint-Gobain,3.9,Building Material, Indore ,101 other locations
398,Brakes India,3.9,Auto Components, Indore ,98 other locations
399,ITC Hotels,4.1,Hospitality, Indore ,94 other locations
400,Kotak Securities,3.4,Financial Services, Indore ,138 other locations
401,Jio Platforms,3.4,IT Services & Consulting, Indore ,101 other locations
402,Henry Harvin Education,3.5,EdTech, Indore ,33 other locations
403,Ninjacart,3.8,Internet, Indore ,114 other locations
404,Delphi TVS,3.9,Auto Components, Indore ,58 other locations
405,Reliance General Insurance,3.6,Insurance, Indore ,193 other locations
406,JK Tyre,3.6,Auto Components, Indore ,141 other locations
407,Biological E,4.2,Pharma, Indore ,71 other locations
408,SGS,3.8,Other, Indore ,145 other locations
409,Senco Gold,4.4,Jewellery, Indore ,77 other locations
410,Novartis,4.1,Pharma, Indore ,75 other locations
411,YASH Technologies,3.7,IT Services & Consulting, Indore ,29 other locations
412,SAP,4.1,Software Product, Indore ,53 other locations
413,EPAM Systems,3.7,IT Services & Consulting, Indore ,35 other locations
414,AECOM,4.2,Engineering & Construction, Indore ,121 other locations
415,IDBI Bank,3.4,Banking, Indore ,328 other locations
416,Paisabazaar.com,3.4,Internet, Indore ,36 other locations
417,Honeywell Automation,3.7,Industrial Automation, Indore ,77 other locations
418,Aditya Birla Health Insurance Co,3.7,Insurance, Indore ,250 other locations
419,K12 Techno Services,3.6,EdTech, Indore ,41 other locations
420,Parle Products,3.9,FMCG, Indore ,239 other locations
421,Dr Lal PathLabs,4.2,Healthcare, Indore ,201 other locations
422,Philips,3.8,Medical Equipment, Indore ,94 other locations
423,Motherson Automotive Technologies and Engineering,3.8,Auto Components, Indore ,67 other locations
424,Microland,3.5,IT Services & Consulting, Indore ,46 other locations
425,Google,4.4,Software Product, Indore ,85 other locations
426,Gabriel India Limited,4.1,Auto Components, Indore ,51 other locations
427,V-Guard Industries,4.3,Consumer Electronics & Appliances, Indore ,169 other locations
428,NCR Corporation,3.5,IT Services & Consulting, Indore ,89 other locations
429,Shadowfax Technologies,3.5,Logistics, Indore ,239 other locations
430,Haier Appliances India,4.0,Consumer Electronics & Appliances, Indore ,154 other locations
431,Globiva,3.0,BPO, Indore ,27 other locations
432,Crisil,3.5,Analytics & KPO, Indore ,81 other locations
433,Spinny,3.7,Internet, Indore ,62 other locations
434,Lucas-TVS,3.9,Auto Components, Indore ,75 other locations
435,CMS Infosystems,3.5,Software Product, Indore ,216 other locations
436,Trent,3.8,Retail, Indore ,142 other locations
