,company name,ratings,company_type,location,other_loc
103,SMFG India Credit,3.9,NBFC, Hyderabad / Secunderabad ,590 other locations
104,Aurobindo Pharma,4.0,Pharma, Hyderabad / Secunderabad ,115 other locations
105,CGI Group,4.0,IT Services & Consulting, Hyderabad / Secunderabad ,43 other locations
106,Siemens,3.9,Industrial Automation, Hyderabad / Secunderabad ,153 other locations
107,BigBasket,3.9,Internet, Hyderabad / Secunderabad ,139 other locations
108,Manappuram Finance,3.9,NBFC, Hyderabad / Secunderabad ,645 other locations
109,Access Healthcare,3.7,BPO, Hyderabad / Secunderabad ,63 other locations
110,Shapoorji Pallonji Group,4.1,Engineering & Construction, Hyderabad / Secunderabad ,188 other locations
111,Firstsource Solutions,3.5,BPO, Hyderabad / Secunderabad ,73 other locations
112,GlobalLogic,3.5,IT Services & Consulting, Hyderabad / Secunderabad ,60 other locations
113,ICICI Lombard General Insurance Company,3.5,Insurance, Hyderabad / Secunderabad ,311 other locations
114,Tata Capital,4.0,NBFC, Hyderabad / Secunderabad ,434 other locations
115,Standard Chartered,3.6,Banking, Hyderabad / Secunderabad ,68 other locations
116,Mahindra Finance,3.9,NBFC, Hyderabad / Secunderabad ,728 other locations
117,Apollo Hospitals,4.1,Healthcare, Hyderabad / Secunderabad ,229 other locations
118,Bosch Global Software Technologies,3.7,IT Services & Consulting, Hyderabad / Secunderabad ,47 other locations
119,PolicyBazaar,3.6,Internet, Hyderabad / Secunderabad ,149 other locations
120,UST,3.7,IT Services & Consulting, Hyderabad / Secunderabad ,50 other locations
121,Ashok Leyland,4.0,Automobile, Hyderabad / Secunderabad ,254 other locations
122,Citicorp,3.7,Financial Services, Hyderabad / Secunderabad ,68 other locations
123,Swiggy,3.7,Internet, Hyderabad / Secunderabad ,228 other locations
124,Hero MotoCorp,4.1,Automobile, Hyderabad / Secunderabad ,364 other locations
125,Cyient,3.6,IT Services & Consulting, Hyderabad / Secunderabad ,48 other locations
126,SBI Cards & Payment Services,3.7,Financial Services, Hyderabad / Secunderabad ,433 other locations
127,Kalpataru Projects International,4.1,Engineering & Construction, Hyderabad / Secunderabad ,320 other locations
128,JustDial,3.5,Internet, Hyderabad / Secunderabad ,228 other locations
129,BNY,3.7,Financial Services, Hyderabad / Secunderabad ,25 other locations
130,IQVIA,3.7,Clinical Research, Hyderabad / Secunderabad ,62 other locations
131,SBI Life Insurance Company,3.7,Insurance, Hyderabad / Secunderabad ,651 other locations
132,CBRE,4.1,Real Estate, Hyderabad / Secunderabad ,91 other locations
133,TVS Motor,3.9,Automobile, Hyderabad / Secunderabad ,349 other locations
134,NTT Data,3.8,IT Services & Consulting, Hyderabad / Secunderabad ,79 other locations
135,Nagarjuna Construction Company,4.0,Engineering & Construction, Hyderabad / Secunderabad ,295 other locations
136,Schneider Electric,4.1,Industrial Automation, Hyderabad / Secunderabad ,120 other locations
137,Persistent Systems,3.6,IT Services & Consulting, Hyderabad / Secunderabad ,42 other locations
138,vivo,4.1,Consumer Electronics & Appliances, Hyderabad / Secunderabad ,413 other locations
139,State Bank of India,3.8,Banking, Hyderabad / Secunderabad ,618 other locations
140,Atos,3.8,IT Services & Consulting, Hyderabad / Secunderabad ,49 other locations
141,Ecom Express,4.0,Logistics, Hyderabad / Secunderabad ,775 other locations
142,Eviden,3.6,IT Services & Consulting, Hyderabad / Secunderabad ,39 other locations
143,KEC International,4.0,Engineering & Construction, Hyderabad / Secunderabad ,312 other locations
144,Amdocs,3.6,Software Product, Hyderabad / Secunderabad ,23 other locations
145,Nagarro,3.9,IT Services & Consulting, Hyderabad / Secunderabad ,49 other locations
146,JBM Group,3.9,Auto Components, Hyderabad / Secunderabad ,116 other locations
147,Varun Beverages,4.0,Beverage, Hyderabad / Secunderabad ,379 other locations
148,ITC Infotech,3.7,IT Services & Consulting, Hyderabad / Secunderabad ,66 other locations
149,Home Credit Finance,4.0,NBFC, Hyderabad / Secunderabad ,136 other locations
150,Bosch,4.1,Auto Components, Hyderabad / Secunderabad ,128 other locations
151,EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting, Hyderabad / Secunderabad ,56 other locations
152,Hewlett Packard Enterprise,4.1,IT Services & Consulting, Hyderabad / Secunderabad ,103 other locations
153,Mahindra Logistics,3.7,Logistics, Hyderabad / Secunderabad ,233 other locations
154,L&T Finance,3.9,NBFC, Hyderabad / Secunderabad ,628 other locations
155,Aditya Birla Fashion and Retail,4.1,Fashion & Textile, Hyderabad / Secunderabad ,290 other locations
156,Utkarsh Small Finance Bank,3.6,Banking, Hyderabad / Secunderabad ,406 other locations
157,OPPO,3.9,Consumer Electronics & Appliances, Hyderabad / Secunderabad ,409 other locations
158,Randstad,3.7,Recruitment, Hyderabad / Secunderabad ,350 other locations
159,Dell,3.8,Consumer Electronics & Appliances, Hyderabad / Secunderabad ,117 other locations
160,CARS24,3.4,Internet, Hyderabad / Secunderabad ,173 other locations
161,Havells,3.9,Electrical Equipment, Hyderabad / Secunderabad ,258 other locations
162,R1 RCM,3.8,BPO, Hyderabad / Secunderabad ,47 other locations
163,Intas Pharmaceuticals,4.1,Pharma, Hyderabad / Secunderabad ,148 other locations
164,Tata AIA Life Insurance,3.9,Insurance, Hyderabad / Secunderabad ,440 other locations
165,Hyundai Motor India Limited,4.1,Automobile, Hyderabad / Secunderabad ,287 other locations
166,Deutsche Bank,3.8,Banking, Hyderabad / Secunderabad ,42 other locations
167,Hetero,3.9,Pharma, Hyderabad / Secunderabad ,67 other locations
168,Motilal Oswal Financial Services,3.7,Financial Services, Hyderabad / Secunderabad ,167 other locations
169,Team Lease,3.9,Recruitment, Hyderabad / Secunderabad ,394 other locations
170,Berger Paints,3.7,Chemicals, Hyderabad / Secunderabad ,352 other locations
171,Lenskart,3.3,Internet, Hyderabad / Secunderabad ,239 other locations
172,Thermax Limited,4.2,Industrial Machinery, Hyderabad / Secunderabad ,247 other locations
173,Bajaj Auto,3.8,Automobile, Hyderabad / Secunderabad ,317 other locations
174,Aakash Educational Services,3.2,Education & Training, Hyderabad / Secunderabad ,243 other locations
175,Macleods Pharmaceuticals,3.7,Pharma, Hyderabad / Secunderabad ,131 other locations
176,LG Electronics,3.9,Consumer Electronics & Appliances, Hyderabad / Secunderabad ,297 other locations
177,Jubilant Foods Works,3.7,Hospitality, Hyderabad / Secunderabad ,261 other locations
178,VE Commercial Vehicles,3.9,Automobile, Hyderabad / Secunderabad ,157 other locations
179,Royal Enfield,4.2,Automobile, Hyderabad / Secunderabad ,375 other locations
180,Jindal Steel Limited,3.9,Iron & Steel, Hyderabad / Secunderabad ,172 other locations
181,Hindalco Industries,4.2,Metals & Mining, Hyderabad / Secunderabad ,127 other locations
182,John Deere,4.0,Industrial Machinery, Hyderabad / Secunderabad ,156 other locations
183,Tata Communications,3.9,Telecom, Hyderabad / Secunderabad ,102 other locations
184,DCB Bank,3.8,Banking, Hyderabad / Secunderabad ,339 other locations
185,HDFC Ergo General Insurance,3.9,Insurance, Hyderabad / Secunderabad ,321 other locations
186,State Street Corporation,3.5,Financial Services, Hyderabad / Secunderabad ,34 other locations
187,RBL Bank,3.5,Banking, Hyderabad / Secunderabad ,285 other locations
188,Cummins,4.3,Industrial Machinery, Hyderabad / Secunderabad ,113 other locations
189,Oyo Rooms,3.1,Internet, Hyderabad / Secunderabad ,120 other locations
190,Alembic Pharmaceuticals,3.9,Pharma, Hyderabad / Secunderabad ,187 other locations
191,Pidilite Industries,4.2,Chemicals, Hyderabad / Secunderabad ,311 other locations
192,Reliance Communications,4.0,Telecom, Hyderabad / Secunderabad ,465 other locations
193,Bank of America,4.1,Banking, Hyderabad / Secunderabad ,35 other locations
194,Carelon Global Solutions,3.9,IT Services & Consulting, Hyderabad / Secunderabad ,21 other locations
195,Publicis Sapient,3.4,IT Services & Consulting, Hyderabad / Secunderabad ,48 other locations
196,Subros,3.8,Auto Components, Hyderabad / Secunderabad ,87 other locations
197,PVR INOX,3.9,Media & Entertainment, Hyderabad / Secunderabad ,150 other locations
198,XpressBees,4.2,Logistics, Hyderabad / Secunderabad ,473 other locations
199,American Express,4.1,Financial Services, Hyderabad / Secunderabad ,53 other locations
200,Viatris,4.1,Pharma, Hyderabad / Secunderabad ,81 other locations
201,Automatic Data Processing (ADP),3.9,Software Product, Hyderabad / Secunderabad ,40 other locations
202,Kyndryl,3.9,IT Services & Consulting, Hyderabad / Secunderabad ,37 other locations
203,Sodexo,4.0,Facility Management Services, Hyderabad / Secunderabad ,156 other locations
204,PNB MetLife,3.4,Insurance, Hyderabad / Secunderabad ,421 other locations
205,Escorts Kubota Limited,4.1,Automobile, Hyderabad / Secunderabad ,154 other locations
206,Aditya Birla Sun Life Insurance,4.0,Insurance, Hyderabad / Secunderabad ,489 other locations
207,Grasim Industries,4.0,Building Material, Hyderabad / Secunderabad ,239 other locations
208,Maersk,4.0,Logistics, Hyderabad / Secunderabad ,49 other locations
209,Birlasoft,3.5,IT Services & Consulting, Hyderabad / Secunderabad ,50 other locations
210,Synechron,3.5,IT Services & Consulting, Hyderabad / Secunderabad ,32 other locations
211,Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances, Hyderabad / Secunderabad ,165 other locations
212,Glenmark Pharmaceuticals,3.8,Pharma, Hyderabad / Secunderabad ,181 other locations
213,Cogent E Services,3.2,BPO, Hyderabad / Secunderabad ,55 other locations
214,Dabur,3.9,FMCG, Hyderabad / Secunderabad ,318 other locations
215,JK Cement,4.0,Building Material, Hyderabad / Secunderabad ,325 other locations
216,Samvardhana Motherson Group,3.7,Auto Components, Hyderabad / Secunderabad ,93 other locations
217,Bharat Electronics,4.2,Electronics Manufacturing, Hyderabad / Secunderabad ,88 other locations
218,Kotak Mahindara Life Insurance,3.5,Insurance, Hyderabad / Secunderabad ,256 other locations
219,KPIT Technologies,3.0,Software Product, Hyderabad / Secunderabad ,44 other locations
220,Abbott,4.1,Pharma, Hyderabad / Secunderabad ,211 other locations
221,Altruist Technologies,4.4,BPO, Hyderabad / Secunderabad ,44 other locations
222,Aarti Industries,4.0,Agro Chemicals, Hyderabad / Secunderabad ,58 other locations
223,Ipca Laboratories,3.9,Pharma, Hyderabad / Secunderabad ,160 other locations
224,Reliance Projects & Property Management Services,4.0,IT Services & Consulting, Hyderabad / Secunderabad ,616 other locations
225,Indian Oil Corporation,4.3,Oil & Gas, Hyderabad / Secunderabad ,308 other locations
226,MRF Tyres,3.6,Auto Components, Hyderabad / Secunderabad ,192 other locations
227,Alkem Laboratories,3.9,Pharma, Hyderabad / Secunderabad ,196 other locations
228,Reliance Digital,4.2,Retail, Hyderabad / Secunderabad ,377 other locations
229,Johnson Controls,3.5,Industrial Automation, Hyderabad / Secunderabad ,57 other locations
230,IGT Solutions,3.2,BPO, Hyderabad / Secunderabad ,47 other locations
231,Honda Motorcycle & Scooter,4.1,Automobile, Hyderabad / Secunderabad ,296 other locations
232,PhonePe,4.1,FinTech, Hyderabad / Secunderabad ,390 other locations
233,Vishal Mega Mart,3.7,Retail, Hyderabad / Secunderabad ,376 other locations
234,UNO Minda,4.0,Auto Components, Hyderabad / Secunderabad ,109 other locations
235,Hindustan Coca Cola Beverages,4.0,Beverage, Hyderabad / Secunderabad ,257 other locations
236,Ford Motor,4.2,Automobile, Hyderabad / Secunderabad ,130 other locations
237,ArcelorMittal Nippon Steel,4.1,Iron & Steel, Hyderabad / Secunderabad ,86 other locations
238,UBS,3.9,Financial Services, Hyderabad / Secunderabad ,19 other locations
239,24/7 Customer,3.4,Software Product, Hyderabad / Secunderabad ,36 other locations
240,DTDC Express,3.7,Logistics, Hyderabad / Secunderabad ,268 other locations
241,Reliance Nippon Life Insurance,3.4,Insurance, Hyderabad / Secunderabad ,482 other locations
