,company name,ratings,company_type,location,other_loc
195,Carelon Global Solutions,3.9,IT Services & Consulting, Mumbai ,21 other locations
196,Publicis Sapient,3.4,IT Services & Consulting, Mumbai ,48 other locations
197,Subros,3.8,Auto Components, Mumbai ,87 other locations
198,PVR INOX,3.9,Media & Entertainment, Mumbai ,150 other locations
199,XpressBees,4.2,Logistics, Mumbai ,473 other locations
200,American Express,4.1,Financial Services, Mumbai ,53 other locations
201,Viatris,4.1,Pharma, Mumbai ,81 other locations
202,Automatic Data Processing (ADP),3.9,Software Product, Mumbai ,40 other locations
203,Kyndryl,3.9,IT Services & Consulting, Mumbai ,37 other locations
204,Sodexo,4.0,Facility Management Services, Mumbai ,156 other locations
205,PNB MetLife,3.4,Insurance, Mumbai ,421 other locations
206,Escorts Kubota Limited,4.1,Automobile, Mumbai ,154 other locations
207,Aditya Birla Sun Life Insurance,4.0,Insurance, Mumbai ,489 other locations
208,Grasim Industries,4.0,Building Material, Mumbai ,239 other locations
209,Maersk,4.0,Logistics, Mumbai ,49 other locations
210,Birlasoft,3.5,IT Services & Consulting, Mumbai ,50 other locations
211,Synechron,3.5,IT Services & Consulting, Mumbai ,32 other locations
212,Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances, Mumbai ,165 other locations
213,Glenmark Pharmaceuticals,3.8,Pharma, Mumbai ,181 other locations
214,Cogent E Services,3.2,BPO, Mumbai ,55 other locations
215,Dabur,3.9,FMCG, Mumbai ,318 other locations
216,JK Cement,4.0,Building Material, Mumbai ,325 other locations
217,Samvardhana Motherson Group,3.7,Auto Components, Mumbai ,93 other locations
218,Bharat Electronics,4.2,Electronics Manufacturing, Mumbai ,88 other locations
219,Kotak Mahindara Life Insurance,3.5,Insurance, Mumbai ,256 other locations
220,KPIT Technologies,3.0,Software Product, Mumbai ,44 other locations
221,Abbott,4.1,Pharma, Mumbai ,211 other locations
222,Altruist Technologies,4.4,BPO, Mumbai ,44 other locations
223,Aarti Industries,4.0,Agro Chemicals, Mumbai ,58 other locations
224,Ipca Laboratories,3.9,Pharma, Mumbai ,160 other locations
225,Reliance Projects & Property Management Services,4.0,IT Services & Consulting, Mumbai ,616 other locations
226,Indian Oil Corporation,4.3,Oil & Gas, Mumbai ,308 other locations
227,MRF Tyres,3.6,Auto Components, Mumbai ,192 other locations
228,Alkem Laboratories,3.9,Pharma, Mumbai ,196 other locations
229,Reliance Digital,4.2,Retail, Mumbai ,377 other locations
230,Johnson Controls,3.5,Industrial Automation, Mumbai ,57 other locations
231,NTT DATA,3.9,IT Services & Consulting, Mumbai ,35 other locations
232,IGT Solutions,3.2,BPO, Mumbai ,47 other locations
233,Honda Motorcycle & Scooter,4.1,Automobile, Mumbai ,296 other locations
234,PhonePe,4.1,FinTech, Mumbai ,390 other locations
235,Vishal Mega Mart,3.7,Retail, Mumbai ,376 other locations
236,UNO Minda,4.0,Auto Components, Mumbai ,109 other locations
237,Hindustan Coca Cola Beverages,4.0,Beverage, Mumbai ,257 other locations
238,Ford Motor,4.2,Automobile, Mumbai ,130 other locations
239,ArcelorMittal Nippon Steel,4.1,Iron & Steel, Mumbai ,86 other locations
240,UBS,3.9,Financial Services, Mumbai ,19 other locations
241,24/7 Customer,3.4,Software Product, Mumbai ,36 other locations
242,DTDC Express,3.7,Logistics, Mumbai ,268 other locations
243,Reliance Nippon Life Insurance,3.4,Insurance, Mumbai ,482 other locations
244,Ceat Tyres,3.9,Auto Components, Mumbai ,141 other locations
245,RSPL Group,4.0,FMCG, Mumbai ,255 other locations
246,ABB,4.1,Industrial Machinery, Mumbai ,105 other locations
247,HARMAN,3.8,Consumer Electronics & Appliances, Mumbai ,42 other locations
248,Cloudnine Hospital,4.4,Healthcare, Mumbai ,46 other locations
249,Barclays,3.7,Banking, Mumbai ,36 other locations
250,Indian Air Force,4.5,Defence & Aerospace, Mumbai ,136 other locations
251,AGS Health,4.0,Analytics & KPO, Mumbai ,60 other locations
252,NatWest Group,4.0,Banking, Mumbai ,29 other locations
253,Blinkit,3.7,Internet, Mumbai ,142 other locations
254,InterGlobe Aviation,3.5,Aviation, Mumbai ,103 other locations
255,TVS Credit Services Ltd,4.2,NBFC, Mumbai ,423 other locations
256,Conduent,3.4,BPO, Mumbai ,35 other locations
257,Alstom Transportation,3.7,Engineering & Construction, Mumbai ,80 other locations
258,Marpu Foundation,4.9,Non-Profit, Mumbai ,62 other locations
259,GeBBS Healthcare Solutions,3.7,BPO, Mumbai ,26 other locations
260,Tata Technologies,3.5,Engineering & Construction, Mumbai ,55 other locations
261,Croma,3.8,Retail, Mumbai ,189 other locations
262,Tata AIG,4.0,Insurance, Mumbai ,260 other locations
263,Max Healthcare,3.9,Healthcare, Mumbai ,78 other locations
264,UPL,4.1,Agro Chemicals, Mumbai ,185 other locations
265,PepsiCo,4.0,Food Processing, Mumbai ,275 other locations
266,Titan Company,4.2,Retail, Mumbai ,183 other locations
267,Amazon Transportation Services,4.2,Logistics, Mumbai ,227 other locations
268,Bajaj General Insurance Limited,3.8,Insurance, Mumbai ,273 other locations
269,Dilip Buildcon,3.9,Engineering & Construction, Mumbai ,226 other locations
270,Walmart,3.5,Retail, Mumbai ,93 other locations
271,Mankind Pharma,3.8,Pharma, Mumbai ,247 other locations
272,Varroc Group,3.6,Auto Components, Mumbai ,61 other locations
273,Future Group,4.2,Retail, Mumbai ,207 other locations
274,S&P Global,4.0,Analytics & KPO, Mumbai ,47 other locations
275,MSN Laboratories,3.6,Pharma, Mumbai ,104 other locations
276,Jindal Stainless,4.1,Iron & Steel, Mumbai ,76 other locations
277,Afcons Infrastructure,4.2,Engineering & Construction, Mumbai ,121 other locations
278,Societe Generale Global Solution Centre,3.6,IT Services & Consulting, Mumbai ,24 other locations
279,Torrent Pharmaceuticals,4.0,Pharma, Mumbai ,128 other locations
280,Quest Global,3.5,IT Services & Consulting, Mumbai ,47 other locations
281,CMS IT Services,3.1,IT Services & Consulting, Mumbai ,152 other locations
282,Square Yards,3.6,Internet, Mumbai ,51 other locations
283,ACC,3.9,Building Material, Mumbai ,272 other locations
284,I Process Services,3.8,Recruitment, Mumbai ,404 other locations
285,HDFC Sales,3.9,Financial Services, Mumbai ,345 other locations
286,IDFC FIRST Bharat,4.2,Financial Services, Mumbai ,420 other locations
287,Zensar Technologies,3.7,IT Services & Consulting, Mumbai ,28 other locations
288,Shoppers Stop,4.0,Retail, Mumbai ,83 other locations
289,Niva Bupa Health Insurance Company,3.9,Insurance, Mumbai ,296 other locations
290,DS Group,4.1,FMCG, Mumbai ,280 other locations
291,Suzlon Group,4.0,Power, Mumbai ,142 other locations
292,ESAF Small Finance Bank,3.6,Banking, Mumbai ,436 other locations
293,Fujitsu,3.8,IT Services & Consulting, Mumbai ,41 other locations
294,Tata Elxsi,3.5,IT Services & Consulting, Mumbai ,30 other locations
295,Eternal Limited,3.6,Internet, Mumbai ,218 other locations
296,Apollo Tyres,4.0,Auto Components, Mumbai ,181 other locations
297,Nokia,4.0,Telecom, Mumbai ,166 other locations
298,VVDN Technologies,3.6,IT Services & Consulting, Mumbai ,49 other locations
299,Ola Electric Mobility,3.3,Automobile, Mumbai ,415 other locations
300,Indus Towers,3.6,Telecom, Mumbai ,237 other locations
301,Sagility,3.9,BPO, Mumbai ,27 other locations
302,Yazaki,3.9,Auto Components, Mumbai ,93 other locations
303,IKS Health,3.5,Healthcare, Mumbai ,31 other locations
304,UnitedHealth,4.0,Healthcare, Mumbai ,17 other locations
305,Bharat Financial Inclusion,3.7,Financial Services, Mumbai ,489 other locations
306,Fiserv,2.9,FinTech, Mumbai ,32 other locations
307,Landmark Group,3.8,Retail, Mumbai ,172 other locations
308,Shree Cement,3.8,Building Material, Mumbai ,255 other locations
309,Britannia,4.0,FMCG, Mumbai ,297 other locations
310,SRF,4.1,Chemicals, Mumbai ,67 other locations
311,Blue Dart Express Ltd,3.9,Logistics, Mumbai ,278 other locations
312,Whitehat jr,3.3,EdTech, Mumbai ,49 other locations
313,Kansai Nerolac Paints,3.8,Chemicals, Mumbai ,253 other locations
314,Exide Industries,3.4,Auto Components, Mumbai ,198 other locations
315,Shell,3.9,Oil & Gas, Mumbai ,90 other locations
316,Flex,3.9,Electronics Manufacturing, Mumbai ,46 other locations
317,Capita,3.5,BPO, Mumbai ,32 other locations
318,Dalmia Bharat Cement,3.9,Building Material, Mumbai ,249 other locations
319,ElasticRun,3.6,Logistics, Mumbai ,390 other locations
320,Micro Labs,3.6,Pharma, Mumbai ,150 other locations
321,NestlÃÂÃÂ©,3.8,FMCG, Mumbai ,278 other locations
322,TVS Supply Chain Solutions,3.8,Logistics, Mumbai ,152 other locations
323,Zepto,3.5,Internet, Mumbai ,100 other locations
324,KFintech,3.4,Financial Services, Mumbai ,113 other locations
325,KPMG Global Services,3.5,Management Consulting, Mumbai ,37 other locations
326,G4S,4.0,Law Enforcement & Security, Mumbai ,162 other locations
327,ZS,3.1,Management Consulting, Mumbai ,16 other locations
328,Star Health & Allied Insurance,3.5,Insurance, Mumbai ,326 other locations
329,Voltas,4.0,Consumer Electronics & Appliances, Mumbai ,204 other locations
330,BlackBuck,3.7,Internet, Mumbai ,365 other locations
331,Sahrudaya Healthcare (Medicover Hospitals),4.4,Healthcare, Mumbai ,45 other locations
332,Sonalika Tractors,3.6,Automobile, Mumbai ,191 other locations
333,Ajanta Pharma,3.9,Pharma, Mumbai ,118 other locations
334,Maruti Suzuki India Limited,4.2,Automobile, Mumbai ,119 other locations
335,Blue Star,4.1,Consumer Electronics & Appliances, Mumbai ,147 other locations
336,Care Health Insurance,3.5,Insurance, Mumbai ,242 other locations
337,Domino's Pizza,3.9,Hospitality, Mumbai ,246 other locations
338,ACT Fibernet,3.9,Telecom, Mumbai ,56 other locations
339,GATI-KWE,3.9,Logistics, Mumbai ,162 other locations
340,NoBroker,3.0,Internet, Mumbai ,49 other locations
341,Tata Electronics,3.9,Semiconductors, Mumbai ,48 other locations
342,Fortis Healthcare,4.0,Healthcare, Mumbai ,69 other locations
343,Gallagher,3.7,Insurance, Mumbai ,28 other locations
344,Exl India,3.5,Logistics, Mumbai ,43 other locations
345,Bajaj Electricals,3.9,Consumer Electronics & Appliances, Mumbai ,233 other locations
346,Sterlite Technologies,3.8,Hardware & Networking, Mumbai ,101 other locations
347,Adani Power,3.7,Power, Mumbai ,127 other locations
348,Movate,3.1,IT Services & Consulting, Mumbai ,38 other locations
349,Sammaan Capital Limited,3.8,NBFC, Mumbai ,201 other locations
350,Alldigi Tech,3.9,BPO, Mumbai ,36 other locations
351,DBS Bank,3.7,Banking, Mumbai ,175 other locations
352,Foundever,3.4,BPO, Mumbai ,23 other locations
353,V-Mart,4.1,Retail, Mumbai ,284 other locations
354,Himalaya Wellness,4.0,Pharma, Mumbai ,236 other locations
355,Tractors and Farm Equipment,3.9,Industrial Machinery, Mumbai ,191 other locations
356,BT Group,3.8,Telecom, Mumbai ,23 other locations
357,Tata Advanced Systems,3.7,Defence & Aerospace, Mumbai ,55 other locations
358,Parle Agro,4.0,Beverage, Mumbai ,255 other locations
359,JCB,3.9,Industrial Machinery, Mumbai ,113 other locations
360,Patanjali Ayurved,3.9,FMCG, Mumbai ,300 other locations
361,IntouchCX,2.7,BPO, Mumbai ,22 other locations
362,Statestreet HCL Services,3.4,BPO, Mumbai ,18 other locations
363,Foxconn,3.9,Electronics Manufacturing, Mumbai ,59 other locations
364,McDonald's,3.9,Hospitality, Mumbai ,147 other locations
365,Laurus Labs,4.3,Pharma, Mumbai ,33 other locations
366,Physicswallah,3.6,EdTech, Mumbai ,121 other locations
367,ICICI Securities,3.9,Financial Services, Mumbai ,148 other locations
368,Mahindra Holidays & Resorts,3.5,Hospitality, Mumbai ,112 other locations
369,Emcure Pharmaceuticals,3.7,Pharma, Mumbai ,113 other locations
370,Photon Interactive,4.1,IT Services & Consulting, Mumbai ,18 other locations
371,Biocon Limited,4.0,Biotechnology, Mumbai ,66 other locations
372,Canara HSBC Life Insurance,3.6,Insurance, Mumbai ,311 other locations
373,Mahindra Rural Housing Finance,4.0,NBFC, Mumbai ,460 other locations
374,Planet Spark,3.9,EdTech, Mumbai ,62 other locations
375,Datamatics Global Services,3.3,IT Services & Consulting, Mumbai ,36 other locations
376,Intellect Design Arena,3.6,Software Product, Mumbai ,40 other locations
377,Axis Direct,3.6,Financial Services, Mumbai ,269 other locations
378,Aditya Birla Capital,3.8,NBFC, Mumbai ,285 other locations
379,Taj Hotels Resorts and Palaces,4.2,Hospitality, Mumbai ,109 other locations
380,Hero FinCorp,3.9,NBFC, Mumbai ,390 other locations
381,Capgemini Engineering,3.4,IT Services & Consulting, Mumbai ,27 other locations
382,3i Infotech,3.4,IT Services & Consulting, Mumbai ,127 other locations
383,Cadila Pharmaceuticals,3.3,Pharma, Mumbai ,134 other locations
384,Info Edge,4.0,Internet, Mumbai ,69 other locations
385,Cholamandalam MS General Insurance,3.7,Insurance, Mumbai ,385 other locations
386,KocharTech,3.7,IT Services & Consulting, Mumbai ,26 other locations
387,Aditya Birla Group,4.1,Metals & Mining, Mumbai ,263 other locations
388,Syngene International,3.9,Clinical Research, Mumbai ,21 other locations
389,Adani Group,3.8,Power, Mumbai ,186 other locations
390,Delhi Public School,3.8,Education & Training, Mumbai ,272 other locations
391,Cybage,3.8,IT Services & Consulting, Mumbai ,15 other locations
392,Bureau Veritas,3.8,Other, Mumbai ,143 other locations
393,Xoriant,4.1,IT Services & Consulting, Mumbai ,23 other locations
394,Lifestyle,4.3,Retail, Mumbai ,129 other locations
395,Akums Drugs & Pharmaceuticals Limited,4.2,Pharma, Mumbai ,37 other locations
396,Aavas Financiers,3.9,NBFC, Mumbai ,290 other locations
397,Eureka Forbes,3.6,Consumer Electronics & Appliances, Mumbai ,184 other locations
398,GVK Emergency Management and Research Institute,3.6,Non-Profit, Mumbai ,212 other locations
399,Straive,3.3,IT Services & Consulting, Mumbai ,31 other locations
400,RMSI,3.6,IT Services & Consulting, Mumbai ,24 other locations
401,Sopra Steria,3.9,IT Services & Consulting, Mumbai ,20 other locations
402,Kia India,3.9,Automobile, Mumbai ,184 other locations
403,Sobha,3.8,Real Estate, Mumbai ,37 other locations
404,Unacademy,2.9,EdTech, Mumbai ,72 other locations
405,CorroHealth infotech,3.7,Analytics & KPO, Mumbai ,31 other locations
406,Radisson Hotels,4.0,Hospitality, Mumbai ,125 other locations
407,Apollo Pharmacy,3.7,Pharma, Mumbai ,279 other locations
408,TaskUs,3.1,BPO, Mumbai ,35 other locations
409,Myntra,3.9,Internet, Mumbai ,104 other locations
410,Lava International,3.9,Consumer Electronics & Appliances, Mumbai ,222 other locations
