,company name,ratings,company_type,location,other_loc
3529,Nippon Data Systems,3.7,IT Services & Consulting , Gurgaon / Gurugram ,25 other locations
3530,Unilog Content Solutions ( P),3.5,Software Product , Gurgaon / Gurugram ,5 other locations
3531,Air India Express,3.4,Aviation , Gurgaon / Gurugram ,24 other locations
3532,Accurate Engineering Company,3.2,Industrial Machinery , Gurgaon / Gurugram ,26 other locations
3533,Ansal Api,3.8,Real Estate , Gurgaon / Gurugram ,17 other locations
3534,Oswal Group,3.8,Fashion & Textile , Gurgaon / Gurugram ,14 other locations
3535,Gates,3.9,Industrial Automation , Gurgaon / Gurugram ,18 other locations
3536,AMBITION JOB,4.1,Recruitment , Gurgaon / Gurugram ,27 other locations
3537,Burger Singh,3.6,Hospitality , Gurgaon / Gurugram ,29 other locations
3538,Nippon Konpo,4.0,Logistics , Gurgaon / Gurugram ,16 other locations
3539,Experion Developers,4.7,Real Estate , Gurgaon / Gurugram ,9 other locations
3540,Intense Technologies,3.6,IT Services & Consulting , Gurgaon / Gurugram ,13 other locations
3541,OneBanc Technologies,4.8,FinTech , Gurgaon / Gurugram ,1 other locations
3542,Diksha Technologies,3.2,IT Services & Consulting , Gurgaon / Gurugram ,6 other locations
3543,Jarvis Technology and Strategy Consulting,3.4,Management Consulting , Gurgaon / Gurugram ,36 other locations
3544,Fabtech Projects & Engineers,3.9,Engineering & Construction , Gurgaon / Gurugram ,20 other locations
3545,Bambino Agro Industries,4.0,Food Processing , Gurgaon / Gurugram ,30 other locations
3546,Lithium Urban Technologies,3.6,Urban Transport , Gurgaon / Gurugram ,13 other locations
3547,AIG,3.9,Insurance , Gurgaon / Gurugram ,13 other locations
3548,Hitek Syndicate,3.6,Banking , Gurgaon / Gurugram ,16 other locations
3549,SYNCHRONIZED SUPPLY SYSTEMS,4.0,Logistics , Gurgaon / Gurugram ,19 other locations
3550,Collage,4.2,Retail , Gurgaon / Gurugram ,78 other locations
3551,AIG,3.9,Insurance , Gurgaon / Gurugram ,13 other locations
3552,Hitek Syndicate,3.6,Banking , Gurgaon / Gurugram ,16 other locations
3553,Jaslok Hospital and Research Centre,4.1,Healthcare , Gurgaon / Gurugram ,10 other locations
3554,U.S. Polo Assn,4.3,Retail , Gurgaon / Gurugram ,52 other locations
3555,Wintax Solution,4.8,Recruitment , Gurgaon / Gurugram ,61 other locations
3556,Kamdhenu,3.7,Building Material , Gurgaon / Gurugram ,44 other locations
3557,Healthplix Technologies,3.0,Fitness & Wellness , Gurgaon / Gurugram ,29 other locations
3558,Don Bosco Tech Society,4.0,Non-Profit , Gurgaon / Gurugram ,50 other locations
3559,Cipla Industries,3.9,Pharma , Gurgaon / Gurugram ,31 other locations
3560,LiquidHub,3.6,IT Services & Consulting , Gurgaon / Gurugram ,8 other locations
3561,ShopX,4.4,Internet , Gurgaon / Gurugram ,30 other locations
3562,L&T Buildings & Factories,3.8,Engineering & Construction , Gurgaon / Gurugram ,27 other locations
