,company name,ratings,company_type,location,other_loc
222,ArcelorMittal Nippon Steel,4.1,Iron & Steel, Ahmedabad ,86 other locations
223,Ford Motor,4.2,Automobile, Ahmedabad ,130 other locations
224,UBS,3.9,Financial Services, Ahmedabad ,19 other locations
225,DTDC Express,3.7,Logistics, Ahmedabad ,268 other locations
226,Reliance Nippon Life Insurance,3.4,Insurance, Ahmedabad ,482 other locations
227,Cloudnine Hospital,4.4,Healthcare, Ahmedabad ,46 other locations
228,Ceat Tyres,3.9,Auto Components, Ahmedabad ,141 other locations
229,ABB,4.1,Industrial Machinery, Ahmedabad ,105 other locations
230,RSPL Group,4.0,FMCG, Ahmedabad ,255 other locations
231,HARMAN,3.8,Consumer Electronics & Appliances, Ahmedabad ,42 other locations
232,Indian Air Force,4.5,Defence & Aerospace, Ahmedabad ,136 other locations
233,AGS Health,4.0,Analytics & KPO, Ahmedabad ,60 other locations
234,Blinkit,3.7,Internet, Ahmedabad ,142 other locations
235,InterGlobe Aviation,3.5,Aviation, Ahmedabad ,103 other locations
236,TVS Credit Services Ltd,4.2,NBFC, Ahmedabad ,423 other locations
237,Alstom Transportation,3.7,Engineering & Construction, Ahmedabad ,80 other locations
238,Marpu Foundation,4.9,Non-Profit, Ahmedabad ,62 other locations
239,Tata Technologies,3.5,Engineering & Construction, Ahmedabad ,55 other locations
240,Croma,3.8,Retail, Ahmedabad ,189 other locations
241,Tata AIG,4.0,Insurance, Ahmedabad ,260 other locations
242,Max Healthcare,3.9,Healthcare, Ahmedabad ,78 other locations
243,UPL,4.1,Agro Chemicals, Ahmedabad ,185 other locations
244,PepsiCo,4.0,Food Processing, Ahmedabad ,275 other locations
245,Titan Company,4.2,Retail, Ahmedabad ,183 other locations
246,Amazon Transportation Services,4.2,Logistics, Ahmedabad ,227 other locations
247,Dilip Buildcon,3.9,Engineering & Construction, Ahmedabad ,226 other locations
248,Bajaj General Insurance Limited,3.8,Insurance, Ahmedabad ,273 other locations
249,Mankind Pharma,3.8,Pharma, Ahmedabad ,247 other locations
250,Walmart,3.5,Retail, Ahmedabad ,93 other locations
251,Varroc Group,3.6,Auto Components, Ahmedabad ,61 other locations
252,Future Group,4.2,Retail, Ahmedabad ,207 other locations
253,S&P Global,4.0,Analytics & KPO, Ahmedabad ,47 other locations
254,MSN Laboratories,3.6,Pharma, Ahmedabad ,104 other locations
255,Jindal Stainless,4.2,Iron & Steel, Ahmedabad ,76 other locations
256,Afcons Infrastructure,4.2,Engineering & Construction, Ahmedabad ,121 other locations
257,Torrent Pharmaceuticals,4.0,Pharma, Ahmedabad ,129 other locations
258,Quest Global,3.5,IT Services & Consulting, Ahmedabad ,47 other locations
259,CMS IT Services,3.1,IT Services & Consulting, Ahmedabad ,152 other locations
260,Niva Bupa Health Insurance Company,4.0,Insurance, Ahmedabad ,300 other locations
261,ACC,3.9,Building Material, Ahmedabad ,272 other locations
262,I Process Services,3.8,Recruitment, Ahmedabad ,405 other locations
263,HDFC Sales,3.9,Financial Services, Ahmedabad ,345 other locations
264,IDFC FIRST Bharat,4.2,Financial Services, Ahmedabad ,420 other locations
265,Zensar Technologies,3.7,IT Services & Consulting, Ahmedabad ,28 other locations
266,Shoppers Stop,4.0,Retail, Ahmedabad ,83 other locations
267,DS Group,4.1,FMCG, Ahmedabad ,280 other locations
268,Suzlon Group,4.0,Power, Ahmedabad ,142 other locations
269,ESAF Small Finance Bank,3.6,Banking, Ahmedabad ,436 other locations
270,Fujitsu,3.8,IT Services & Consulting, Ahmedabad ,41 other locations
271,Eternal Limited,3.6,Internet, Ahmedabad ,218 other locations
272,Apollo Tyres,4.0,Auto Components, Ahmedabad ,181 other locations
273,VVDN Technologies,3.6,IT Services & Consulting, Ahmedabad ,49 other locations
274,Nokia,4.0,Telecom, Ahmedabad ,166 other locations
275,Ola Electric Mobility,3.3,Automobile, Ahmedabad ,415 other locations
276,Indus Towers,3.6,Telecom, Ahmedabad ,238 other locations
277,Yazaki,3.9,Auto Components, Ahmedabad ,94 other locations
278,Bharat Financial Inclusion,3.7,Financial Services, Ahmedabad ,489 other locations
279,Landmark Group,3.8,Retail, Ahmedabad ,172 other locations
280,Shree Cement,3.8,Building Material, Ahmedabad ,255 other locations
281,Britannia,4.0,FMCG, Ahmedabad ,297 other locations
282,SRF,4.1,Chemicals, Ahmedabad ,67 other locations
283,Blue Dart Express Ltd,3.9,Logistics, Ahmedabad ,278 other locations
284,Whitehat jr,3.3,EdTech, Ahmedabad ,49 other locations
285,Kansai Nerolac Paints,3.8,Chemicals, Ahmedabad ,253 other locations
286,Exide Industries,3.4,Auto Components, Ahmedabad ,198 other locations
287,Shell,3.9,Oil & Gas, Ahmedabad ,90 other locations
288,Capita,3.5,BPO, Ahmedabad ,32 other locations
289,ElasticRun,3.6,Logistics, Ahmedabad ,390 other locations
290,Dalmia Bharat Cement,3.9,Building Material, Ahmedabad ,249 other locations
291,Nestl̩,3.8,FMCG, Ahmedabad ,278 other locations
292,Micro Labs,3.6,Pharma, Ahmedabad ,150 other locations
293,TVS Supply Chain Solutions,3.8,Logistics, Ahmedabad ,152 other locations
294,Zepto,3.5,Internet, Ahmedabad ,100 other locations
295,KFintech,3.4,Financial Services, Ahmedabad ,113 other locations
296,KPMG Global Services,3.5,Management Consulting, Ahmedabad ,37 other locations
297,G4S,4.0,Law Enforcement & Security, Ahmedabad ,162 other locations
298,Star Health & Allied Insurance,3.5,Insurance, Ahmedabad ,326 other locations
299,Voltas,4.0,Consumer Electronics & Appliances, Ahmedabad ,204 other locations
300,BlackBuck,3.7,Internet, Ahmedabad ,365 other locations
301,Sonalika Tractors,3.6,Automobile, Ahmedabad ,191 other locations
302,Ajanta Pharma,3.9,Pharma, Ahmedabad ,118 other locations
303,Blue Star,4.1,Consumer Electronics & Appliances, Ahmedabad ,147 other locations
304,Care Health Insurance,3.5,Insurance, Ahmedabad ,242 other locations
305,Domino's Pizza,3.9,Hospitality, Ahmedabad ,246 other locations
306,ACT Fibernet,3.9,Telecom, Ahmedabad ,56 other locations
307,GATI-KWE,3.9,Logistics, Ahmedabad ,162 other locations
308,Tata Electronics,3.9,Semiconductors, Ahmedabad ,48 other locations
309,NoBroker,3.0,Internet, Ahmedabad ,49 other locations
310,Exl India,3.5,Logistics, Ahmedabad ,43 other locations
311,Bajaj Electricals,3.9,Consumer Electronics & Appliances, Ahmedabad ,233 other locations
